id,project_name,ls,hs,t,gc,l1,ed1,id1,l2,ed2,id2,s11_freq,s11_db,s21_freq,s21_db
039b638f-a085-449a-a3d2-21cd59e3da8b,33,8.0,1.6,0.035,0.3,7.64,6.0,5.0,3.0,2.5,2.0,30.451999999999998,-18.58621567760118,31.496000000000002,-17.144014941771715
26eea9f9-5c5c-48e1-ab80-0c91a03bf057,34,8.0,1.6,0.035,0.3,7.66,6.0,5.0,3.0,2.5,2.0,30.451999999999998,-18.81523464332053,31.496000000000002,-17.099592095199114
03ea75c6-4d3c-4a5c-a722-c80d1155cca1,35,8.0,1.6,0.035,0.3,7.68,6.0,5.0,3.0,2.5,2.0,30.451999999999998,-18.859916822847982,31.484,-16.960173437947265
b8b0d0dc-275c-432c-ba03-82840fd873d3,36,8.0,1.6,0.035,0.3,7.7,6.0,5.0,3.0,2.5,2.0,30.439999999999998,-18.69070641622645,31.472,-16.98802369836009
b1ae93e5-b31a-4a41-8b80-d0995c0b67bd,37,8.0,1.6,0.035,0.3,7.72,6.0,5.0,3.0,2.5,2.0,30.439999999999998,-19.05335965213824,31.46,-16.82297867188939
6483d598-226e-4125-81b1-26d1c3f0e24d,38,8.0,1.6,0.035,0.3,7.74,6.0,5.0,3.0,2.5,2.0,30.439999999999998,-18.53766269902301,31.436,-16.735468916836155
f27ed994-35a8-4580-8d14-29d4dfe1563a,39,8.0,1.6,0.035,0.3,7.76,6.0,5.0,3.0,2.5,2.0,30.428,-18.630043515493877,31.412,-16.64897257416165
ce857183-a06e-4673-a53c-5f445c60071f,40,8.0,1.6,0.035,0.3,7.78,6.0,5.0,3.0,2.5,2.0,30.428,-20.412864478330842,31.436,-16.510066366359105
fec8d326-c3b8-447a-b43f-07d5f2ca08ca,41,8.0,1.6,0.035,0.3,7.8,6.0,5.0,3.0,2.5,2.0,30.416,-18.475440290418522,31.387999999999998,-16.45873463654721
93403852-6bfa-44b8-8268-972002a08e29,42,8.0,1.6,0.035,0.3,7.79,6.0,5.0,3.0,2.5,2.0,30.404,-20.612616455291196,31.412,-16.484720507827827
069a1814-3ec0-49af-a558-689c3d612d56,43,8.0,1.6,0.035,0.3,7.77,6.0,5.0,3.0,2.5,2.0,30.428,-20.250801332770642,31.424,-16.526832602101837
08eb21cb-7a51-4937-a549-5976d765c26c,44,8.0,1.6,0.035,0.3,7.75,6.0,5.0,3.0,2.5,2.0,30.428,-18.727997895870583,31.424,-16.727558769262952
de168bb3-43a9-458f-831b-1cad4cfd9466,45,8.0,1.6,0.035,0.3,7.73,6.0,5.0,3.0,2.5,2.0,30.439999999999998,-18.734056822061255,31.46,-16.863636953522395
681bf4fb-6ecf-43d1-9a62-9c083c123aa7,46,8.0,1.6,0.035,0.3,7.71,6.0,5.0,3.0,2.5,2.0,30.451999999999998,-18.298030577402574,31.448,-16.88555586769771
8cc1d97f-988a-4411-a79b-6df05ee0e300,47,8.0,1.6,0.035,0.3,7.69,6.0,5.0,3.0,2.5,2.0,30.451999999999998,-18.922176351188583,31.484,-16.962682256547538
27508416-7739-42c6-8252-678ce093c4ac,48,8.0,1.6,0.035,0.3,7.67,6.0,5.0,3.0,2.5,2.0,30.464,-18.186899226644204,31.496000000000002,-17.062972209092305
35a22fe3-b7a7-4ea2-a63d-b43c855fafb7,49,8.0,1.6,0.035,0.3,7.65,6.0,5.0,3.0,2.5,2.0,30.439999999999998,-19.05157775898769,31.496000000000002,-17.082103342682096
47cc25c5-f7ef-4e53-a22c-67650aa0de80,50,8.0,1.6,0.035,0.3,7.63,6.0,5.0,3.0,2.5,2.0,30.451999999999998,-18.45376347850614,31.496000000000002,-17.17668447892609
41ebce93-524e-4695-af0f-994bf79ce6e6,51,8.0,1.6,0.035,0.3,7.61,6.0,5.0,3.0,2.5,2.0,30.464,-18.164550123273433,31.52,-17.18603137968668
04e11e41-daec-4912-9e95-c872b5ca4d2a,52,8.0,1.6,0.035,0.3,7.59,6.0,5.0,3.0,2.5,2.0,30.476,-17.84689357771913,31.52,-17.22993319617422
1fa36e73-1013-4143-b712-3945c68fb6f3,53,8.0,1.6,0.035,0.3,7.57,6.0,5.0,3.0,2.5,2.0,30.488,-17.931182513229025,31.532,-17.192952475957668
94d905f2-12fd-45e6-8418-2320c88524ec,54,8.0,1.6,0.035,0.3,7.55,6.0,5.0,3.0,2.5,2.0,30.476,-17.57298493322918,31.52,-17.18056652505892
b4144f01-dc61-4d40-b368-96760887054e,55,8.0,1.6,0.035,0.3,7.53,6.0,5.0,3.0,2.5,2.0,30.488,-17.22239821041316,31.52,-17.08932446696622
7c04eec3-cc81-4ba7-aa7c-5504909b231c,56,8.0,1.6,0.035,0.3,7.51,6.0,5.0,3.0,2.5,2.0,30.5,-16.88874762508591,31.544,-17.255489365850686
f2ebd75b-db2d-4d85-8abe-9c5f4338d2f2,57,8.0,1.6,0.035,0.3,7.49,6.0,5.0,3.0,2.5,2.0,30.512,-16.732105765546756,31.556,-17.2174634720776
78401df1-546d-46d5-b1de-c20f42c9916d,58,8.0,1.6,0.035,0.3,7.47,6.0,5.0,3.0,2.5,2.0,30.524,-15.6408211520191,31.544,-17.212999235480105
0e4e6556-17b0-4380-a0d8-72ae1bbc5799,59,8.0,1.6,0.035,0.3,7.45,6.0,5.0,3.0,2.5,2.0,30.524,-17.400838867328115,31.567999999999998,-17.018297967243935
3fcb9866-ea4d-4a0a-ba86-e00c6fd632f3,60,8.0,1.6,0.035,0.3,7.43,6.0,5.0,3.0,2.5,2.0,30.548000000000002,-16.600202263740332,31.567999999999998,-16.95367901475197
6c66944f-4304-4a61-b480-14b745d99f12,61,8.0,1.6,0.035,0.3,7.41,6.0,5.0,3.0,2.5,2.0,30.560000000000002,-15.013615543159753,31.544,-16.98341099690096
6c6c145d-e4f1-4930-a40a-a65d51bae44b,62,8.0,1.6,0.035,0.3,7.39,6.0,5.0,3.0,2.5,2.0,30.572000000000003,-14.325016217103599,31.544,-16.96007557169282
f5fd5072-6ca8-49b9-af3d-d365402aaff1,63,8.0,1.6,0.035,0.3,7.37,6.0,5.0,3.0,2.5,2.0,30.14,-14.920692735901131,31.544,-16.68725650046652
69c0dbb2-22f8-4bf3-ae52-de9d8ab91cd3,64,8.0,1.6,0.035,0.3,7.35,6.0,5.0,3.0,2.5,2.0,30.14,-14.784057412353741,28.472,-16.61464322591717
